country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,TamilNadu,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB","18-04-2026 22:00:00","8.816428 ",78.099039,NO2,15,20,18
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB","18-04-2026 22:00:00",17.460103,78.334361,PM2.5,NA,NA,NA
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","18-04-2026 22:00:00",26.268249,73.0193853,PM2.5,24,148,63
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","18-04-2026 22:00:00",26.268249,73.0193853,NH3,5,16,10
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","18-04-2026 22:00:00",26.268249,73.0193853,SO2,1,16,8
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","18-04-2026 22:00:00",26.295810,73.082283,NO2,12,101,32
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","18-04-2026 22:00:00",26.215415,73.070156,SO2,4,10,6
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB","18-04-2026 22:00:00",26.215415,73.070156,OZONE,41,99,78
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","18-04-2026 22:00:00",26.358805,73.047444,PM2.5,5,50,30
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","18-04-2026 22:00:00",26.358805,73.047444,CO,4,26,12
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","18-04-2026 22:00:00",26.253384,72.976571,PM2.5,12,53,31
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","18-04-2026 22:00:00",26.253384,72.976571,PM10,46,156,85
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","18-04-2026 22:00:00",26.253384,72.976571,NO2,2,52,11
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","18-04-2026 22:00:00",13.1662,80.2584,SO2,13,21,17
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","18-04-2026 22:00:00",13.164544,80.26285,NO2,10,12,10
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","18-04-2026 22:00:00",13.164544,80.26285,NH3,6,7,6
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","18-04-2026 22:00:00",13.164544,80.26285,CO,11,53,23
India,TamilNadu,Chennai,"Manali, Chennai - CPCB","18-04-2026 22:00:00",13.164544,80.26285,OZONE,24,62,48
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","18-04-2026 22:00:00",12.9533,80.2357,PM10,8,76,34
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","18-04-2026 22:00:00",12.9533,80.2357,CO,24,41,33
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","18-04-2026 22:00:00",13.1036,80.2909,PM2.5,2,27,12
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","18-04-2026 22:00:00",13.1036,80.2909,NH3,4,5,4
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","18-04-2026 22:00:00",13.1036,80.2909,OZONE,16,19,18
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","18-04-2026 22:00:00",13.0052189,80.2398125,PM2.5,29,29,29
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB","18-04-2026 22:00:00",28.018792,73.292658,CO,8,62,29
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","18-04-2026 22:00:00",25.435774,75.644272,NH3,4,9,5
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","18-04-2026 22:00:00",25.435774,75.644272,CO,12,104,32
India,Rajasthan,Chittorgarh,"Shastri Nagar, Chittorgarh - RSPCB","18-04-2026 22:00:00",24.892047,74.623527,PM10,36,255,83
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","18-04-2026 22:00:00",28.296139,74.961696,NO2,7,29,16
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","18-04-2026 22:00:00",28.296139,74.961696,SO2,5,8,6
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB","18-04-2026 22:00:00",26.895552,76.334753,OZONE,10,122,66
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","18-04-2026 22:00:00",29.931624,73.864511,NO2,8,39,16
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","18-04-2026 22:00:00",26.159933,75.780517,PM2.5,31,164,93
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","18-04-2026 22:00:00",24.5886166,73.6321397,PM2.5,42,95,71
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","18-04-2026 22:00:00",24.5886166,73.6321397,PM10,53,112,88
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","18-04-2026 22:00:00",24.5886166,73.6321397,NH3,3,22,10
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","18-04-2026 22:00:00",24.5886166,73.6321397,SO2,4,16,7
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","18-04-2026 22:00:00",13.0664,"80.2112 ",PM10,19,62,39
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB","18-04-2026 22:00:00",26.699557,77.898881,CO,15,134,122
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","18-04-2026 22:00:00",29.610750,74.283608,SO2,5,25,13
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","18-04-2026 22:00:00",26.902909,75.836858,PM2.5,46,234,111
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","18-04-2026 22:00:00",26.9164092,75.7994901,PM2.5,67,119,86
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","18-04-2026 22:00:00",26.9164092,75.7994901,OZONE,16,101,50
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB","18-04-2026 22:00:00",26.786682,75.827928,PM2.5,32,280,90
India,Rajasthan,Karauli,"Satyawati Vihar, Karauli - RSPCB","18-04-2026 22:00:00",26.506177,77.025989,CO,4,66,26
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","18-04-2026 22:00:00",25.164090,75.858137,PM10,NA,NA,NA
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","18-04-2026 22:00:00",25.196024,75.855668,SO2,4,126,25
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB","18-04-2026 22:00:00",25.14389,75.821256,OZONE,4,12,9
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","18-04-2026 22:00:00",27.213494,73.734444,NH3,NA,NA,NA
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","18-04-2026 22:00:00",27.213494,73.734444,SO2,4,19,8
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","18-04-2026 22:00:00",27.213494,73.734444,OZONE,33,95,74
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB","18-04-2026 22:00:00",17.528544,78.286195,CO,36,64,45
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","18-04-2026 22:00:00",17.417094,78.457437,PM10,79,97,88
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","18-04-2026 22:00:00",17.417094,78.457437,SO2,16,23,19
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","18-04-2026 22:00:00",17.417094,78.457437,CO,11,36,24
